                  0.8300E+01                -0.2828E-01                -0.8182E+00                -0.1099E+00                 0.2006E-02                -0.4513E-03                 0.1292E-01
                  0.8400E+01                -0.2891E-01                -0.8273E+00                -0.1111E+00                 0.2131E-02                -0.4846E-03                 0.1387E-01
                  0.8500E+01                -0.2954E-01                -0.8363E+00                -0.1123E+00                 0.2260E-02                -0.5198E-03                 0.1488E-01
                  0.8600E+01                -0.3018E-01                -0.8453E+00                -0.1135E+00                 0.2395E-02                -0.5569E-03                 0.1594E-01
                  0.8700E+01                -0.3083E-01                -0.8543E+00                -0.1147E+00                 0.2534E-02                -0.5957E-03                 0.1705E-01
                  0.8800E+01                -0.3148E-01                -0.8632E+00                -0.1159E+00                 0.2680E-02                -0.6369E-03                 0.1822E-01
                  0.8900E+01                -0.3213E-01                -0.8721E+00                -0.1171E+00                 0.2831E-02                -0.6800E-03                 0.1945E-01
                  0.9000E+01                -0.3279E-01                -0.8810E+00                -0.1183E+00                 0.2988E-02                -0.7252E-03                 0.2074E-01
                  0.9100E+01                -0.3346E-01                -0.8899E+00                -0.1195E+00                 0.3150E-02                -0.7727E-03                 0.2210E-01
                  0.9200E+01                -0.3413E-01                -0.8988E+00                -0.1207E+00                 0.3318E-02                -0.8223E-03                 0.2351E-01
                  0.9300E+01                -0.3480E-01                -0.9076E+00                -0.1219E+00                 0.3492E-02                -0.8743E-03                 0.2500E-01
                  0.9400E+01                -0.3548E-01                -0.9164E+00                -0.1231E+00                 0.3673E-02                -0.9288E-03                 0.2655E-01
                  0.9500E+01                -0.3616E-01                -0.9252E+00                -0.1242E+00                 0.3858E-02                -0.9857E-03                 0.2816E-01
                  0.9600E+01                -0.3685E-01                -0.9339E+00                -0.1254E+00                 0.4050E-02                -0.1045E-02                 0.2985E-01
                  0.9700E+01                -0.3754E-01                -0.9426E+00                -0.1266E+00                 0.4249E-02                -0.1107E-02                 0.3161E-01
                  0.9800E+01                -0.3824E-01                -0.9513E+00                -0.1277E+00                 0.4454E-02                -0.1171E-02                 0.3345E-01
                  0.9900E+01                -0.3894E-01                -0.9600E+00                -0.1289E+00                 0.4665E-02                -0.1239E-02                 0.3536E-01
                  0.1000E+02                -0.3964E-01                -0.9686E+00                -0.1301E+00                 0.4882E-02                -0.1308E-02                 0.3735E-01
                  0.1010E+02                -0.4035E-01                -0.9772E+00                -0.1312E+00                 0.5106E-02                -0.1381E-02                 0.3942E-01
                  0.1020E+02                -0.4107E-01                -0.9858E+00                -0.1324E+00                 0.2467E-03                -0.6741E-04                 0.1924E-02
                  0.1030E+02                -0.4178E-01                -0.9944E+00                -0.1335E+00                 0.2610E-03                -0.7198E-04                 0.2055E-02
                  0.1040E+02                -0.4251E-01                -0.1003E+01                -0.1347E+00                 0.2759E-03                -0.7691E-04                 0.2192E-02
                  0.1050E+02                -0.4323E-01                -0.1011E+01                -0.1358E+00                 0.2917E-03                -0.8198E-04                 0.2338E-02
                  0.1060E+02                -0.4396E-01                -0.1020E+01                -0.1369E+00                 0.3082E-03                -0.8737E-04                 0.2489E-02
